time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.0299582804008983e-07,1.7129705669703797e-06,10.011013638704314,0.0008603701964586818,6.283057936999043,0.0,1.191128783765573e-05,0.0001313212621747454,0.3670763505710887,0.03360678052361918,-0.006748388814933073,0.0,515.311179684978,514.8340537054775,513.1757476159004,515.5552462983117
0.12000000000000001,4.878778128416915e-06,3.484209189706135e-05,10.035623767272929,0.003144382147597824,6.282696773545737,0.0,0.00018552454851925943,0.0011891072568516888,0.4532301150311914,0.04575518611444157,-0.004599812473171203,0.0,432.0881537941642,432.26931961728303,432.59344802992007,433.61576706111055
0.18,2.6724816194444046e-05,0.0001781517721777165,10.064880896254786,0.005753968516133412,6.28228985003833,0.0,0.000575519948867542,0.003848928313395181,0.5219770689307436,0.03853607859894648,-0.011549120439201796,0.0,426.9559716095365,426.36285774547537,427.8458403849175,427.2319939237977
0.23999999999999996,8.741504166051551e-05,0.0005663747146676608,10.103983331482945,0.008069996299705728,6.281371194764226,0.0,0.0015468831852166306,0.009381602130561157,0.7812943058862936,0.0387288909746507,-0.024159310060088136,0.0,485.3659700180902,484.41889984118455,485.3972217067069,485.41228309753063
0.3,0.00021951312892111354,0.0012902187976647907,10.152107211206214,0.01065893228958359,6.280026151404396,0.0,0.002986566173945716,0.014976694432339883,0.8228033866950224,0.05077702146700062,-0.019143569707056114,0.0,418.225969887434,418.66248070746644,418.18444880039095,419.23361081975844
0.36000000000000004,0.0004665935382527853,0.002416080872571574,10.204044874880385,0.013945148762683601,6.279182175778281,0.0,0.005347180465322365,0.022868530185404374,0.908383402093482,0.06175042824153099,-0.005470045029661787,0.0,432.6749050519169,433.8244830883854,432.32931510330235,433.25486619550037
0.4200000000000001,0.000886344649484687,0.004145069445539406,10.265209441182606,0.018313829151829886,6.278746980289133,0.0,0.008689243222325001,0.035253475587744824,1.1302346879947078,0.08881805355665019,-0.011082278265130552,0.0,474.72630637279474,474.2956409587241,474.185019299617,476.26307340411336
0.48000000000000015,0.001541135517674041,0.006826511009099444,10.344656418117568,0.02413982852945029,6.2782298648634285,0.0,0.013219995683652971,0.05493094779115448,1.5175498271961465,0.10993666110549753,-0.004097636538176352,0.0,521.3163452846751,521.8042380958451,520.6156809001588,522.0974258641613
0.5400000000000001,0.002447301197692234,0.010703521656519218,10.440962521390237,0.030349213816524667,6.278976492105105,0.0,0.016942577788172555,0.07502601097479278,1.6923914089044234,0.08572337827774601,0.03365180602602102,0.0,460.9212952693504,463.89476802322855,463.2380777926694,461.33892184481
0.6000000000000002,0.0035384743032828027,0.015816680219889964,10.544384206513943,0.03528487750068088,6.281319558103309,0.0,0.019217323839205228,0.09589664265546541,1.7548880224710461,0.07424300461953294,0.048106177259648206,0.0,427.75080026567844,428.9806651137657,427.71575534138753,426.74272092306705
0.6600000000000003,0.004722059078340807,0.0223987264172694,10.6549503445661,0.03942979771782262,0.0010177634807098102,0.0,0.01990842402103706,0.123984216224158,1.9303508662043674,0.05598971804896082,0.04796313489160408,0.0,463.70220220261393,463.6922696264859,463.6745358127785,462.24174649587314
0.7200000000000003,0.005883205250697668,0.030674255475767756,10.773988366206247,0.042857600348058966,0.004591127273097406,0.0,0.018457274551779302,0.1522086075349957,2.037381420040164,0.05931748699526627,0.07612497477553434,0.0,442.0160615767328,444.33303114765744,442.5594578536939,442.8355172384954
0.7800000000000004,0.006870198165502614,0.040769815762707724,10.900696197196003,0.04628217979774707,0.008757310205142588,0.0,0.01396083554080458,0.18467909945922018,2.1859182261131287,0.05217028032848581,0.05066687465010594,0.0,457.3167025188397,455.287838787036,456.45063012371105,455.882062459268
0.8400000000000004,0.007522946500065404,0.052780662956350546,11.034013989713646,0.050107030342584125,0.011532324034369879,0.0,0.007512106235717027,0.21602160679408774,2.2578460724163896,0.08029957222107362,0.035504262935010536,0.0,432.681880129451,431.404826660055,432.47741041537677,434.8430169727054
0.9000000000000005,0.007733593829490613,0.06676897326508294,11.171932770783307,0.055781546406218574,0.013415879793497787,0.0,-0.0006895292089693604,0.2507758112246109,2.339248631782871,0.11377315327720611,0.021547774180288512,0.0,436.9589384327085,435.7943113816696,434.7385909179695,437.54153317728026
0.9600000000000005,0.007384527699187676,0.0830996529477361,11.317128800640248,0.062396001325805805,0.014559398224542441,0.0,-0.011077265097492274,0.2943067072949583,2.5002282987510425,0.10203519862548971,0.013547377216373953,0.0,461.61406273721434,460.98226817851355,462.0204472813521,461.1042958163433
1.0200000000000005,0.006369101503136157,0.10227158997549927,11.473271722770576,0.06924619131131138,0.015495288538847518,0.0,-0.022866421451197126,0.3454960445957927,2.704015097647544,0.13128967662234797,0.019412899167872665,0.0,475.3859314829938,475.8350419420442,473.26735635647236,475.52390001474237
1.0800000000000005,0.004688213223269192,0.12439026255907146,11.637470186453008,0.07772792172279619,0.01647021162616813,0.0,-0.03326522582671946,0.39257674873531,2.769040792370712,0.156282558625162,0.009020732954870677,0.0,434.3518576269351,433.4793708318329,431.9022764273271,434.0237367860382
1.1400000000000006,0.002387719093415772,0.14940023837738944,11.804248046121133,0.08677218586808522,0.017449144763249436,0.0,-0.04348835435791578,0.44191707011381537,2.790087030190799,0.13635561342591063,0.027926141735269246,0.0,419.8777859371943,421.5147001265379,419.2321602438501,417.51977512002355
